Subject,Gamble,Domain,p_Meanfix,q_Meanfix,x_Meanfix,y_Meanfix,p_TotalFix,q_TotalFix,x_TotalFix,y_TotalFix,risk_selected,response_time
10,45,1,86.42853488372106,89.17910000000037,72.65151282051225,61.103999999998756,43,20,39,6,0,21145
10,72,1,61.776058823531514,82.86817142857119,131.8310000000006,80.80839130434865,17,35,22,46,0,23473
10,64,1,89.77530769230641,99.98066666666757,70.51315384615064,45.846749999995154,13,6,13,4,0,6621
10,59,1,150.01900000001478,33.33700000000681,45.83224999999584,49.98199999998906,1,2,4,2,0,2354
10,24,1,106.8788823529424,110.00369999999675,87.30019047619065,60.441749999999956,17,10,21,8,1,11394
10,52,1,50.006500000017695,62.94600000000436,33.34675000000425,60.41599999999562,2,9,4,8,0,6312
10,35,1,51.28384615384633,72.73004545454287,117.72868749999907,68.39958620689968,13,22,16,29,0,15417
10,18,1,111.1040000000042,49.94000000000233,90.01899999999878,146.30222222221911,6,1,10,9,0,6470
10,38,1,84.84654545454991,80.55753333332977,92.65540000000095,80.01116666666591,11,30,25,30,1,22280
10,23,1,43.7817500000092,41.67300000000978,106.66609999999928,99.99700000000303,8,2,10,2,1,4146
10,70,1,266.713499999998,138.9006666666634,111.13633333332837,72.22833333332285,2,6,3,3,0,4099
10,12,1,60.014000000007215,48.15188888887901,72.21100000000054,77.28672727272284,5,9,6,11,0,6454
10,40,1,51.85066666665888,50.86578947368789,79.99649999999674,74.31262499999866,9,19,10,24,0,16495
10,2,1,41.664500000013504,61.09749999999379,58.3264999999883,57.126428571421584,2,6,4,7,0,4914
10,57,1,76.68240000000223,54.50057692306962,52.769833333327064,39.40454545454916,15,26,12,11,0,17763
10,56,1,83.37299999997776,116.64999999999418,62.50200000000768,72.24099999999937,2,1,4,3,0,3650
10,36,1,92.35191666666167,77.78450000000109,88.90299999999843,65.2756666666731,24,30,12,12,0,23325
10,41,1,66.6798000000039,107.39355555555085,41.670999999987544,69.44066666668125,10,9,2,6,0,5357
10,32,1,80.00720000000437,33.32600000000093,166.73000000001048,54.17300000000978,5,1,2,8,0,5085
10,73,1,51.1687142857076,60.61063636362616,109.0742727272657,116.74285714284217,14,11,11,7,0,8863
10,9,1,100.02952173912807,95.6403043478292,48.34649999999674,74.59928571429225,23,23,10,21,0,17770
10,1,1,140.0474000000162,68.78662500000792,76.67160000000149,50.01949999999488,5,8,5,4,1,6194
10,34,1,66.66066666669212,63.94433333334746,85.01190000000061,55.572666666664496,3,6,10,6,0,4870
10,22,1,70.80000000001746,50.00414285712343,73.32060000000055,87.87781818180916,4,7,5,11,0,5491
10,3,1,62.50024999998277,61.10933333334591,62.513999999995576,44.53699999999177,4,3,4,3,0,4781
10,47,1,95.83449999998265,72.14083333331898,0.0,61.107333333347924,4,6,0,3,0,4083
10,63,1,56.66720000000205,54.79171428569992,69.98240000000223,149.99299999999735,5,7,10,3,1,7509
10,6,1,61.10466666661281,59.51428571428239,91.51999999998952,33.35849999997299,3,7,2,2,0,3150
10,14,1,66.73000000001048,66.69000000000233,61.904142857113456,216.68699999991804,4,1,7,1,0,3055
10,33,1,116.69183333333542,80.52899999997074,118.73537499999657,78.34680000000517,6,6,8,10,1,5593
10,37,1,111.91671428571655,92.59533333332769,87.88809090910416,77.7463333333338,7,9,11,3,1,7967
10,31,1,66.67016666665829,98.50181818183046,108.29974999999104,52.380285714295624,6,11,4,7,0,6903
10,46,1,74.99750000000738,73.84500000000533,58.32250000000931,33.325500000006286,6,7,2,2,0,4456
10,5,1,58.34549999999581,33.28599999997823,99.92566666672549,56.25050000002375,2,4,3,8,0,4212
10,20,1,83.3410000000149,49.994000000006054,88.80166666669538,55.546999999981686,1,1,3,3,0,2233
10,13,1,94.472111111122,70.82271428572547,77.78800000001986,94.46033333332356,18,28,3,15,0,14172
10,10,1,76.19128571426596,64.45439999999944,62.53199999999197,75.75409090909471,7,15,4,11,0,7025
10,49,1,125.42684210526242,119.04638095237203,76.66675000000008,51.52718181819232,38,21,60,11,0,29286
10,54,1,113.875999999999,66.65299999999115,56.245375000013155,87.44725000001199,6,1,8,4,0,3692
10,27,1,70.02739999999758,75.53886666667337,123.35899999997346,87.88145454548066,5,15,5,11,0,7534
10,65,1,68.59188461540795,66.63683333332301,77.96419354838379,110.20822222221695,26,6,31,18,0,15006
10,68,1,127.77266666661792,58.35399999999694,99.97033333333093,63.33479999998817,3,12,6,5,0,6436
10,19,1,76.1909999999833,156.68600000001024,70.36444444445402,66.70499999999302,7,5,9,5,0,5536
10,66,1,52.4030000000161,66.6094000000041,69.426499999982,133.38549999997485,7,5,6,6,0,4297
10,50,1,33.36349999997765,89.96959999997634,33.32700000004843,86.67959999998565,2,5,2,5,0,3643
10,16,1,62.5367499999993,47.61914285714738,73.3181999999797,141.5755000000354,4,7,5,4,0,4934
10,58,1,127.75100000000869,100.0120000000655,74.99416666671944,76.18899999999641,3,3,6,7,0,3815
10,53,1,116.62599999993108,70.90424999996321,94.46433333326907,66.67500000004657,1,4,3,1,0,2283
10,17,1,54.107749999995576,36.11316666666729,41.64399999997113,25.081500000087544,4,6,2,2,0,2380
10,74,1,66.65999999999379,108.31500000003143,47.223999999948624,80.5415000000309,3,4,6,6,0,3956
10,29,1,109.37618750000547,76.46317647058544,66.70009090910158,88.10028571429264,16,17,11,7,1,10587
10,62,1,100.01899999997113,83.33477777780757,150.0054999999702,58.33125000000291,1,9,2,8,0,5064
10,28,1,86.11458333332364,58.317833333315015,102.09587500001362,157.11885714288135,12,6,8,7,0,7420
10,44,1,59.08054545454004,77.78874999998759,65.47899999999208,116.6520000000148,11,12,14,9,0,10307
10,21,1,91.66524999999092,51.29369230769897,62.518249999993714,97.88875000002736,4,13,4,8,0,5219
10,67,1,55.53516666670718,60.063200000009964,70.81200000000536,69.50883333332604,6,10,4,6,0,4248
10,7,1,91.6075000000128,50.005750000011176,83.32099999999627,83.35699999995995,4,4,1,2,0,2947
10,60,1,0.0,111.11233333331377,99.98400000005495,112.50600000002305,0,3,1,4,0,2573
10,25,1,191.6755000000121,49.99549999998999,105.53333333332557,50.010999999940395,2,4,3,1,0,2539
10,11,1,43.36739999996498,70.85524999996414,116.6589999999851,50.01259999996982,5,4,2,5,0,2645
10,15,1,60.422875000032946,33.32999999995809,66.66974999997183,79.15700000003562,8,1,4,4,0,3342
10,43,1,44.453999999988206,0.0,72.2170000000624,33.32600000011735,3,0,3,1,0,1822
10,61,1,124.01585714287856,80.49844444444817,50.00924999997369,123.81285714283253,7,9,4,7,0,6314
10,69,1,49.997999999905005,106.6260000000475,108.3409999999567,47.24116666667396,1,1,2,6,0,2613
10,8,1,88.87816666664246,86.36981818182606,70.83700000005774,63.86083333333954,6,11,4,6,1,5352
10,30,1,62.51600000000326,108.31399999989662,41.66700000001583,83.37199999991572,4,2,2,2,1,1782
10,4,1,37.51537500000268,66.67450000008103,49.99499999999534,66.6645000000135,8,4,1,2,1,2693
10,39,1,83.37639999997336,90.00599999998231,33.49350000004051,174.9825000000419,5,5,2,2,1,4721
10,75,1,83.34149999992223,41.66625000000931,62.4945000000298,52.73449999994288,2,4,4,6,0,3682
10,26,1,47.61471428570803,62.465500000020256,0.0,161.12333333333177,7,4,0,3,0,4884
10,71,1,0.0,66.65499999994063,77.78666666666201,83.38066666662537,0,4,3,3,0,2365
10,42,1,61.075333333341405,66.59400000004098,63.34059999997262,35.181222222176274,3,1,5,9,0,5780
10,48,1,66.67000000004191,58.45050000003539,72.22350000000249,0.0,1,2,6,0,1,6284
10,51,1,61.120999999926426,86.67600000002422,0.0,41.66249999997672,3,5,0,2,0,3287
10,55,1,37.499500000005355,30.60266666665363,0.0,60.40962500002934,4,6,0,8,0,10057
10,71,2,105.6825227272718,72.03467777777308,53.35872000000905,68.74330927835916,44,90,25,97,1,72804
10,15,2,49.08827777778626,68.17709090906746,117.90422222222185,60.274692307700974,18,22,27,26,1,25349
10,63,2,139.99739999999292,68.33156666666812,49.98580000004731,81.64939999998896,5,30,5,20,1,12691
10,13,2,90.49107142858806,109.96939999999013,53.97742857138759,54.16049999999814,14,5,21,4,1,8902
10,28,2,49.98082352941856,70.84149999998044,109.52828571425995,69.59050000001153,17,28,21,40,0,22441
10,72,2,46.295111111093625,50.00275000004331,65.71082352941363,59.512857142869116,9,4,17,7,1,9341
10,50,2,64.98505000000587,104.15899999999965,57.152714285733445,66.67200000002049,20,8,7,1,1,8293
10,73,2,58.343333333323244,46.8874375000014,38.87766666656049,91.65837500001362,12,16,3,8,1,10904
10,2,2,120.37488888894829,72.22666666668374,55.562222222215496,71.4141428570895,9,3,9,7,1,6962
10,38,2,67.72293749998062,50.026499999978114,74.23899999998552,158.34859999996843,16,8,11,10,1,12066
10,49,2,69.98199999998323,44.462666666697864,49.989000000059605,56.05045454541687,5,6,1,11,1,6205
10,12,2,38.862999999934495,76.65820000001695,49.99066666670842,41.665500000002794,3,5,6,2,1,3130
10,59,2,89.97459999995772,112.50025000007008,116.6610000000801,50.00674999997136,5,4,1,4,1,3161
10,46,2,85.72642857145651,33.32549999997718,41.66249999999612,77.77600000003197,7,2,6,3,1,6226
10,7,2,54.168000000034226,77.74000000001008,55.57583333334575,50.13000000000466,4,6,6,1,1,4047
10,54,2,54.65499999999534,57.738107142849394,72.07948648648312,63.154631578945555,25,28,37,19,1,28699
10,70,2,115.146818181775,33.34799999999814,54.16274999995949,116.62799999996787,11,3,8,4,1,6965
10,35,2,36.66620000000112,33.33300000010058,74.99549999996088,49.986333333343886,5,1,2,3,1,3637
10,60,2,81.94458333336904,62.49224999995204,57.69561538460235,120.39188888894084,24,8,26,18,1,14008
10,22,2,83.35200000007171,166.66200000001118,116.6535000000149,66.7139999999199,2,1,2,1,1,2919
10,55,2,49.96900000004098,77.32890909095295,85.41099999999278,44.398999999975786,5,11,8,3,1,5888
10,20,2,64.58525000000373,75.00400000007357,52.7591666666558,44.446333333384246,8,2,6,3,1,6105
10,10,2,62.49387500004377,90.00030000002589,63.89816666668048,58.33474999986356,8,10,12,4,1,8819
10,32,2,50.00279999990016,74.99950000003446,91.67062499999884,33.33600000012666,5,2,8,1,1,3184
10,40,2,74.96250000002328,83.38099999997455,83.32700000004843,33.32899999991059,2,3,2,1,1,1614
10,39,2,0.0,44.4521666666648,72.25416666661233,49.91100000000248,0,6,6,3,1,5315
10,43,2,50.01149999978952,50.023999999975786,66.68350000004284,61.105999999912456,2,2,2,3,1,1877
10,14,2,87.29470588238088,33.350250000017695,52.445428571397706,50.001571428579545,17,4,7,14,1,10046
10,5,2,43.65244444444155,44.483666666628174,33.60314285721896,16.714000000152737,9,3,7,1,1,5803
10,42,2,73.61733333331843,111.91814285709656,74.15940000001574,52.80716666660737,12,7,20,6,1,10432
10,44,2,66.68000000016764,41.668499999912456,99.96233333329049,66.63600000011502,1,2,3,4,1,1934
10,69,2,82.9959999999834,55.94814285717439,59.92030952381347,84.03566666666107,47,14,42,30,1,30956
10,61,2,97.05180000003892,38.871500000047185,49.98979999998119,34.03599999996368,10,6,10,2,1,7941
10,4,2,54.17593750001106,81.97199999993124,100.00655555549181,70.01339999993797,16,12,9,10,1,8734
10,67,2,124.97600000002421,66.70824999996694,33.33100000000559,45.83499999996275,2,4,1,4,1,2255
10,47,2,44.43900000001304,44.436999999956846,150.0130000000354,55.50500000000466,3,6,1,6,1,3930
10,30,2,67.39060869562925,54.74871428573637,64.296857142954,61.89671428574781,23,7,7,7,1,9546
10,34,2,91.66770000006072,81.11813333330987,79.16224999993574,90.47771428572014,10,15,4,7,1,7169
10,19,2,58.32858333335025,70.45399999998467,59.745833333348855,62.290894736854455,12,22,12,19,1,17576
10,18,2,58.3887499999837,76.66160000008531,83.42399999999907,49.99499999987893,4,5,2,1,1,2984
10,57,2,49.998499999870546,55.62566666677594,49.993000000016764,50.02099999994971,2,3,1,1,1,2574
10,17,2,158.28899999987334,0.0,133.3310000000056,83.33950000006007,2,0,1,4,1,2443
10,58,2,47.22783333330881,83.37375000008615,77.77200000011362,38.923333333417155,6,4,3,3,1,7330
10,52,2,66.66399999998976,83.32599999988452,77.7839999999075,58.34649999986868,2,1,3,2,1,2073
10,11,2,58.32799999997951,33.33600000012666,83.37366666660334,33.332000000053085,2,1,3,2,1,2453
10,24,2,33.360000000102445,30.526799999922513,108.29199999989942,60.018999999947845,4,5,2,5,1,3095
10,74,2,68.52133333336354,58.34716666656701,37.52750000014203,33.323499999940395,9,6,4,2,1,7281
10,45,2,50.002499999827705,0.0,75.0144999998156,0.0,2,0,2,0,1,1892
10,25,2,33.34500000015832,41.643250000081025,16.727000000188127,38.57949999999255,5,4,1,4,1,4055
10,8,2,25.02249999984633,91.74699999985751,116.627000000095,33.28900000010617,2,2,1,1,1,2018
10,41,2,33.3179999999702,33.26799999992363,199.9790000000503,0.0,1,1,1,0,1,1303
10,66,2,66.67500000004657,50.00700000009965,61.188666666547455,92.85128571429024,1,2,3,7,1,3072
10,48,2,66.67000000015832,175.00624999997672,61.106666666843616,83.4234999998007,1,4,3,2,1,3242
10,27,2,68.88500000000931,61.109666666714475,72.74027272732928,91.6524999999674,15,3,11,12,1,10270
10,29,2,91.66949999984354,44.49533333334451,41.633499999996275,50.03833333348545,2,3,2,3,1,1713
10,68,2,41.687000000150874,33.29800000006799,38.912666666709505,233.28000000002794,2,2,3,1,1,1696
10,23,2,99.8619999998482,33.33100000000559,66.66399999998976,83.4340000001248,2,1,2,3,1,2379
10,33,2,38.897666666501514,62.9415555556253,45.84499999991385,100.03300000005402,3,9,4,2,1,3729
10,36,2,60.01699999985285,66.69033333343558,45.83850000007078,98.8687333333306,5,9,8,15,1,8497
10,9,2,33.32400000025518,116.65900000021793,74.99999999988358,91.54800000006799,1,1,2,2,1,3108
10,21,2,74.99449999979697,66.65500000002794,61.09633333329111,33.35800000000745,2,2,6,3,1,3045
10,3,2,61.680500000016764,141.645500000217,38.87333333337059,81.70977777783345,10,2,3,9,1,8664
10,31,2,83.35499999998137,33.320999999763444,41.66900000011083,74.99599999992643,1,1,2,2,1,1787
10,51,2,33.33300000010058,55.56400000001304,25.02749999985099,39.99240000015125,2,3,2,5,1,2225
10,53,2,41.688249999890104,38.881666666828096,0.0,83.7459999999497,4,3,0,5,1,3412
10,16,2,0.0,83.3090000001248,99.98449999990407,37.53049999999348,0,1,2,4,1,1666
10,64,2,67.04100000020117,41.701499999908265,50.0,63.57130000002216,2,4,1,10,1,4061
10,62,2,33.36525000020629,33.33499999996275,36.65900000007823,125.01150000013877,4,1,5,2,1,2345
10,65,2,50.00150000001304,133.3300000000745,74.97474999999395,0.0,2,1,4,0,1,3896
10,1,2,0.0,0.0,33.34175000007963,149.92700000014156,0,0,4,1,1,1513
10,75,2,73.33713333333532,88.33549999990501,49.11194736843831,60.32679999996908,15,10,19,5,1,14002
10,26,2,83.3015000000014,50.0202500000014,86.64599999999628,63.883499999996275,4,8,5,6,1,5344
10,37,2,49.998000000137836,41.666499999933876,49.980333333369344,80.56233333334482,3,2,3,6,1,3183
10,6,2,54.18025000003399,83.31150000006892,50.029749999928754,66.67299999971874,4,2,4,1,1,4189
10,56,2,83.32433333333272,74.97900000005029,0.0,66.67099999985658,3,2,0,2,1,1900
11,8,1,108.38349999999991,79.15275000000008,50.054999999999986,121.48350000000005,2,4,3,4,1,2690
11,42,1,66.70980000000054,127.0828749999996,74.96749999999975,128.5875714285716,5,8,4,7,0,5293
11,4,1,66.66600000000108,56.70580000000045,83.3080000000009,49.98960000000079,3,5,1,5,0,2559
11,26,1,100.07550000000083,66.5997499999985,0.0,44.48100000000098,2,4,0,3,0,1926
11,29,1,0.0,44.43966666666893,63.876000000000204,41.678499999999985,0,3,6,2,0,2317
11,30,1,33.33399999999892,216.87999999999738,50.07150000000183,66.65550000000076,1,1,2,2,0,1599
11,35,1,66.65949999999793,100.22900000000664,49.959333333332324,58.334500000000844,2,1,3,2,0,1605
11,33,1,58.293500000003405,83.32649999999921,83.33000000000175,94.43333333333187,2,4,2,3,0,1691
11,47,1,33.3440000000046,133.38950000000477,50.0,62.501249999997526,1,2,1,4,0,1476
11,54,1,133.29099999999744,74.95500000000175,66.68399999999868,166.6640000000043,1,2,3,1,0,1502
11,36,1,62.53225000000202,199.97400000000926,137.5849999999955,50.083999999995285,4,1,4,2,0,2088
11,67,1,116.67299999999886,66.67399999999907,183.31299999999464,33.32999999999447,2,1,1,1,0,1361
11,12,1,72.21666666666715,83.33999999999651,74.86149999999543,74.99816666666568,3,5,2,6,0,2992
11,31,1,62.56750000000102,66.65600000000268,99.95724999999584,55.55033333333753,4,3,4,3,0,2694
11,45,1,124.99250000000757,37.51474999999846,0.0,66.66999999999825,2,4,0,2,0,1599
11,20,1,58.3379999999961,283.26600000000326,33.25299999999697,49.98350000000937,2,1,1,2,0,1381
11,64,1,105.55633333333147,66.6649999999936,150.00824999999895,58.40350000000035,3,1,4,2,0,2034
11,3,1,49.94099999999162,124.89950000000681,166.67799999999988,66.70049999999173,1,2,1,4,0,1598
11,75,1,58.34049999999843,62.460250000003725,108.36250000000291,208.34024999999747,2,4,2,4,0,2874
