"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"3","69","3","2","no","39","NA","7","2","70","NA","NA","NA","90","NA","l","25012","1","130","NA","NA","NA","3","400","300"
"3","75","2","2","yes","39","NA","7","2","40","NA","NA","NA","50","NA","l","18266","0","130","NA","NA","NA","2","200","400"
"3","60","3","2","no","39","NA","7","2","40","NA","NA","NA","50","NA","p","20244","0","130","NA","NA","NA","3","400","300"
"3","64","4","2","no","39","NA","7","2","50","NA","NA","NA","80","NA","p","29640","0","130","NA","NA","NA","4","300","200"
"3","38","3","2","no","39","NA","7","2","10","NA","NA","NA","30","NA","l","20260","1","130","NA","NA","NA","3","500","200"
"3","15","1","2","no","39","NA","7","2","30","NA","NA","NA","60","NA","p","14168","1","130","NA","NA","NA","1","400","200"
"3","52","2","2","no","39","NA","7","2","30","NA","NA","NA","100","NA","p","17350","1","130","NA","NA","NA","2","300","100"
"3","65","1","2","no","39","NA","7","2","50","NA","NA","NA","70","NA","l","23422","0","130","NA","NA","NA","1","400","300"
"3","20","2","2","no","39","NA","7","2","40","NA","NA","NA","80","NA","p","21267","1","130","NA","NA","NA","2","400","200"
"3","41","1","2","no","39","NA","7","2","20","NA","NA","NA","50","NA","l","20455","0","130","NA","NA","NA","1","200","100"
"3","16","1","2","no","39","NA","7","2","30","NA","NA","NA","40","NA","p","24099","1","130","NA","NA","NA","1","400","300"
"3","10","2","2","no","39","NA","7","2","20","NA","NA","NA","40","NA","p","20821","1","130","NA","NA","NA","2","400","200"
"3","2","4","2","no","39","NA","7","2","10","NA","NA","NA","30","NA","l","8403","1","130","NA","NA","NA","4","300","100"
"3","14","4","2","no","39","NA","7","2","30","NA","NA","NA","90","NA","l","4522","1","130","NA","NA","NA","4","300","100"
"3","25","1","2","no","39","NA","7","2","60","NA","NA","NA","90","NA","p","3257","1","130","NA","NA","NA","1","300","200"
"3","23","4","2","no","39","NA","7","2","50","NA","NA","NA","100","NA","l","7597","1","130","NA","NA","NA","4","200","100"
"3","39","1","2","no","39","NA","7","2","10","NA","NA","NA","20","NA","p","5987","1","130","NA","NA","NA","1","500","300"
"3","66","1","2","no","39","NA","7","2","50","NA","NA","NA","80","NA","p","2609","1","130","NA","NA","NA","1","500","300"
"3","51","1","2","no","39","NA","7","2","30","NA","NA","NA","80","NA","p","1670","1","130","NA","NA","NA","1","300","100"
"3","5","2","2","no","39","NA","7","2","10","NA","NA","NA","50","NA","p","4035","1","130","NA","NA","NA","2","500","100"
"3","63","4","2","no","39","NA","7","2","50","NA","NA","NA","70","NA","l","1503","1","130","NA","NA","NA","4","300","200"
"3","8","2","2","no","39","NA","7","2","20","NA","NA","NA","30","NA","p","1752","1","130","NA","NA","NA","2","300","200"
"3","21","2","2","no","39","NA","7","2","40","NA","NA","NA","100","NA","p","1159","1","130","NA","NA","NA","2","500","200"
"3","59","2","2","no","39","NA","7","2","40","NA","NA","NA","90","NA","p","1503","1","130","NA","NA","NA","2","200","100"
"3","30","4","2","no","39","NA","7","2","10","NA","NA","NA","20","NA","l","1976","1","130","NA","NA","NA","4","300","100"
"3","57","3","2","no","39","NA","7","2","30","NA","NA","NA","40","NA","p","1184","0","130","NA","NA","NA","3","500","400"
"3","44","1","2","no","39","NA","7","2","20","NA","NA","NA","70","NA","p","2078","1","130","NA","NA","NA","1","400","100"
"3","62","3","2","no","39","NA","7","2","50","NA","NA","NA","90","NA","l","3153","1","130","NA","NA","NA","3","200","100"
"3","3","3","2","no","39","NA","7","2","10","NA","NA","NA","40","NA","l","1167","1","130","NA","NA","NA","3","400","100"
"3","73","4","2","yes","39","NA","7","2","60","NA","NA","NA","70","NA","l","6128","1","130","NA","NA","NA","4","200","400"
"3","35","3","2","no","39","NA","7","2","10","NA","NA","NA","40","NA","p","2029","0","130","NA","NA","NA","3","500","100"
"3","71","4","2","yes","39","NA","7","2","80","NA","NA","NA","90","NA","l","3220","1","130","NA","NA","NA","4","200","400"
"3","32","2","2","no","39","NA","7","2","10","NA","NA","NA","20","NA","p","1449","1","130","NA","NA","NA","2","300","200"
"3","1","3","2","no","39","NA","7","2","10","NA","NA","NA","20","NA","p","907","0","130","NA","NA","NA","3","200","100"
"3","29","4","2","no","39","NA","7","2","10","NA","NA","NA","30","NA","l","1550","1","130","NA","NA","NA","4","200","100"
"3","27","3","2","no","39","NA","7","2","60","NA","NA","NA","100","NA","l","1709","1","130","NA","NA","NA","3","500","300"
"3","47","1","2","no","39","NA","7","2","20","NA","NA","NA","90","NA","p","869","1","130","NA","NA","NA","1","500","100"
"3","33","2","2","no","39","NA","7","2","10","NA","NA","NA","30","NA","p","904","1","130","NA","NA","NA","2","400","100"
"3","54","1","2","no","39","NA","7","2","30","NA","NA","NA","50","NA","p","8993","1","130","NA","NA","NA","1","300","200"
"3","7","2","2","no","39","NA","7","2","20","NA","NA","NA","60","NA","p","5416","1","130","NA","NA","NA","2","300","100"
"3","6","3","2","no","39","NA","7","2","20","NA","NA","NA","40","NA","l","1125","1","130","NA","NA","NA","3","200","100"
"3","49","4","2","no","39","NA","7","2","30","NA","NA","NA","50","NA","l","1486","1","130","NA","NA","NA","4","200","100"
"3","42","2","2","no","39","NA","7","2","20","NA","NA","NA","50","NA","p","759","1","130","NA","NA","NA","2","300","100"
"3","43","1","2","no","39","NA","7","2","20","NA","NA","NA","70","NA","p","927","1","130","NA","NA","NA","1","300","100"
