,TimeStamp,Event,GazePointX,GazePointY
58405,969623.457,,928.0,466.0
58406,969640.074,,929.0,459.0
58407,969656.755,,938.0,449.0
58408,969673.401,,940.0,448.0
58409,969690.066,,947.0,461.0
58410,969706.724,,943.0,470.0
58411,969723.392,,944.0,446.0
58412,969740.05,,941.0,459.0
58413,969756.719,,948.0,454.0
58414,969773.382,,943.0,463.0
58415,969790.0059999999,,900.0,423.0
58416,969806.709,,862.0,409.0
58417,969823.3670000001,,875.0,412.0
58418,969840.036,,867.0,405.0
58419,969856.75,,871.0,406.0
58420,969873.3620000001,,876.0,404.0
58421,969890.027,,863.0,411.0
58422,969906.682,,878.0,425.0
58423,969923.348,,874.0,416.0
58424,969940.0109999999,,879.0,411.0
58425,969956.682,,875.0,422.0
58426,969973.3420000001,,871.0,420.0
58427,969990.0079999999,,870.0,429.0
58428,970006.673,,878.0,414.0
58429,970023.333,,877.0,419.0
58430,970039.9959999999,,874.0,432.0
58431,970056.735,,875.0,424.0
58432,970073.328,,879.0,419.0
58433,970089.99,,875.0,419.0
58434,970106.655,,880.0,410.0
58435,970123.4240000001,,885.0,424.0
58436,970140.0909999999,,873.0,420.0
58437,970156.7640000001,,878.0,412.0
58438,970173.427,,879.0,415.0
58439,970190.0909999999,,867.0,406.0
58440,970206.7559999999,,882.0,422.0
58441,970223.415,,877.0,422.0
58442,970240.085,,864.0,416.0
58443,970256.8309999999,,876.0,418.0
58444,970273.413,,869.0,404.0
