TimeStamp,Event,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight
139.474,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
156.184,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
172.913,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
189.594,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
206.275,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
222.956,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
239.63,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
256.28,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
272.924,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
289.573,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
306.246,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
322.92,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
339.593,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
356.247,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
372.877,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
389.503,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
406.146,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
422.812,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
439.473,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
456.13,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
472.786,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
489.447,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
506.107,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
522.772,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
539.436,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
556.101,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
572.765,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
589.444,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
606.109,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
622.775,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
639.44,,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0
