"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"2","21","3","1","no","3","NA","2","1","40","NA","NA","NA","100","NA","p","3688","0","115","NA","NA","NA","2","500","200"
"2","54","2","1","no","3","NA","2","1","30","NA","NA","NA","50","NA","l","2138","0","115","NA","NA","NA","1","300","200"
"2","5","3","1","no","3","NA","2","1","10","NA","NA","NA","50","NA","p","2123","0","115","NA","NA","NA","2","500","100"
"2","9","2","1","no","3","NA","2","1","20","NA","NA","NA","80","NA","l","4251","0","115","NA","NA","NA","1","400","100"
"2","38","4","1","no","3","NA","2","1","10","NA","NA","NA","30","NA","p","3934","0","115","NA","NA","NA","3","500","200"
"2","2","1","1","no","3","NA","2","1","10","NA","NA","NA","30","NA","p","5678","1","115","NA","NA","NA","4","300","100"
"2","49","1","1","no","3","NA","2","1","30","NA","NA","NA","50","NA","l","4304","0","115","NA","NA","NA","4","200","100"
"2","22","3","1","no","3","NA","2","1","40","NA","NA","NA","50","NA","p","6394","0","115","NA","NA","NA","2","500","400"
"2","41","2","1","no","3","NA","2","1","20","NA","NA","NA","50","NA","l","7152","0","115","NA","NA","NA","1","200","100"
"2","6","4","1","no","3","NA","2","1","20","NA","NA","NA","40","NA","p","5896","0","115","NA","NA","NA","3","200","100"
"2","40","3","1","no","3","NA","2","1","20","NA","NA","NA","30","NA","l","4601","1","115","NA","NA","NA","2","200","100"
"2","67","1","1","no","3","NA","2","1","50","NA","NA","NA","60","NA","l","6647","0","115","NA","NA","NA","4","500","400"
"2","26","2","1","no","3","NA","2","1","60","NA","NA","NA","80","NA","l","12540","0","115","NA","NA","NA","1","400","300"
"2","14","1","1","no","3","NA","2","1","30","NA","NA","NA","90","NA","l","1755","0","115","NA","NA","NA","4","300","100"
"2","29","1","1","no","3","NA","2","1","10","NA","NA","NA","30","NA","l","4523","0","115","NA","NA","NA","4","200","100"
